"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 21 17:40:03 GMT 2023","Mon Aug 21 17:40:35 GMT 2023","32081","","","","","","Listar filmes",""
"passed","Mon Aug 21 17:40:54 GMT 2023","Mon Aug 21 17:40:56 GMT 2023","2472","","","","","","Listar espaçonave específica",""
"passed","Mon Aug 21 17:41:13 GMT 2023","Mon Aug 21 17:41:15 GMT 2023","1517","","","","","","Listar um planeta específico",""
"passed","Mon Aug 21 17:40:59 GMT 2023","Mon Aug 21 17:41:00 GMT 2023","1538","","","","","","Listar um veículo específico",""
"passed","Mon Aug 21 17:40:47 GMT 2023","Mon Aug 21 17:40:49 GMT 2023","2359","","","","","","Listar personagem específico",""
"passed","Mon Aug 21 17:41:08 GMT 2023","Mon Aug 21 17:41:09 GMT 2023","1681","","","","","","Listar uma espécie específica",""
"passed","Mon Aug 21 17:40:49 GMT 2023","Mon Aug 21 17:40:54 GMT 2023","4370","","","","","","Listar todas as espaçonaves",""
"passed","Mon Aug 21 17:41:09 GMT 2023","Mon Aug 21 17:41:13 GMT 2023","4046","","","","","","Listar todos os planetas",""
"passed","Mon Aug 21 17:40:35 GMT 2023","Mon Aug 21 17:40:40 GMT 2023","4263","","","","","","Listar filme específico",""
"passed","Mon Aug 21 17:40:40 GMT 2023","Mon Aug 21 17:40:47 GMT 2023","7124","","","","","","Listar todos os personagens",""
"passed","Mon Aug 21 17:41:00 GMT 2023","Mon Aug 21 17:41:08 GMT 2023","7336","","","","","","Listar todas as espécies",""
"passed","Mon Aug 21 17:40:56 GMT 2023","Mon Aug 21 17:40:59 GMT 2023","2715","","","","","","Listar todos os veículos",""
